Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,375 Mbps","0,5 Mbps","0,512 Mbps","0,625 Mbps","0,75 Mbps",1 Mbps,"1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,11 Mbps,12 Mbps,13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,49 Mbps,50 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,82 Mbps,83 Mbps,85 Mbps,90 Mbps,92 Mbps,95 Mbps,100 Mbps
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,,,,2,,,19,,,,,,,85,,145,,,,173,,,,299,,144,,4134,,,415,,,,,604,,,,,211,,,,,59,,,,,,,,37,,,,,,,,,,,,,,,,,,9,,,,,,,
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,,,,,,,,,,,,,,,,,,,,45,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Del Valle,6854020,,,,1,,,,,,,,,,181,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Ernestina,6854030,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,,,,,,,,,,,106,,,3,,,56,,7,3,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,,,,,,,,,,,161,,,38,,,15,,15,876,,,,,,1,,,,,141,,,,,,,,,,34,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Pedernales,6854070,,,,,,,,,,,,,,395,,,173,,,2,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,San Enrique,6854080,,,,,,,,,,,,,,,,,,,,85,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Valdés,6854090,,,,,,,,,,,,,,,,,,,,33,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,9 de Julio,6588100,1,,,,,,9,,,,,,,198,,114,,,154,4942,,235,,98,,2652,,71,,,1094,,,4,,1008,,,,,151,,,,,311,,,,,,,,,,,,,1932,,,,,,,,,,,,,,,,,,,,1195
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Dudignac,6588040,,,,,,,,8,,,,,,25,,,247,,,46,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,,,,,,,,1,,,199,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Patricios,6588110,,,,,,,,,,,,,,,,,,,,16,,,,,,41,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,,,,,,,,,,,,,,42,,,,,,20,,,,,,33,,,,,1,,,,,25,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,,,,,,,,,,,,,,793,,20,,,,,,103,,36,,,,,,,1231,,,,,,,,,,,,,,,1,266,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,3
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
