Año,Trimestre,Provincia,Tecnología,value
2022,2,Buenos Aires,ADSL,350652.0
2022,2,Capital Federal,ADSL,145491.0
2022,2,Catamarca,ADSL,11928.0
2022,2,Chaco,ADSL,29552.0
2022,2,Chubut,ADSL,45377.0
2022,2,Córdoba,ADSL,179181.0
2022,2,Corrientes,ADSL,38468.0
2022,2,Entre Ríos,ADSL,63794.0
2022,2,Formosa,ADSL,15397.0
2022,2,Jujuy,ADSL,20303.0
2022,2,La Pampa,ADSL,7796.0
2022,2,La Rioja,ADSL,7759.0
2022,2,Mendoza,ADSL,37663.0
2022,2,Misiones,ADSL,37208.0
2022,2,Neuquén,ADSL,29749.0
2022,2,Río Negro,ADSL,36050.0
2022,2,Salta,ADSL,42665.0
2022,2,San Juan,ADSL,38570.0
2022,2,San Luis,ADSL,6860.0
2022,2,Santa Cruz,ADSL,10170.0
2022,2,Santa Fe,ADSL,198492.0
2022,2,Santiago Del Estero,ADSL,16561.0
2022,2,Tierra Del Fuego,ADSL,12754.0
2022,2,Tucumán,ADSL,85893.0
2022,1,Buenos Aires,ADSL,392045.0
2022,1,Capital Federal,ADSL,102290.0
2022,1,Catamarca,ADSL,14181.0
2022,1,Chaco,ADSL,32391.0
2022,1,Chubut,ADSL,44133.0
2022,1,Córdoba,ADSL,195610.0
2022,1,Corrientes,ADSL,40462.0
2022,1,Entre Ríos,ADSL,67159.0
2022,1,Formosa,ADSL,16397.0
2022,1,Jujuy,ADSL,21307.0
2022,1,La Pampa,ADSL,8003.0
2022,1,La Rioja,ADSL,9103.0
2022,1,Mendoza,ADSL,49464.0
2022,1,Misiones,ADSL,39147.0
2022,1,Neuquén,ADSL,28443.0
2022,1,Río Negro,ADSL,38662.0
2022,1,Salta,ADSL,44714.0
2022,1,San Juan,ADSL,34038.0
2022,1,San Luis,ADSL,7987.0
2022,1,Santa Cruz,ADSL,10537.0
2022,1,Santa Fe,ADSL,213486.0
2022,1,Santiago Del Estero,ADSL,18118.0
2022,1,Tierra Del Fuego,ADSL,13031.0
2022,1,Tucumán,ADSL,92532.0
2021,4,Buenos Aires,ADSL,426325.0
2021,4,Capital Federal,ADSL,111360.0
2021,4,Catamarca,ADSL,16385.0
2021,4,Chaco,ADSL,35548.0
2021,4,Chubut,ADSL,46361.0
2021,4,Córdoba,ADSL,212011.0
2021,4,Corrientes,ADSL,42523.0
2021,4,Entre Ríos,ADSL,70459.0
2021,4,Formosa,ADSL,17211.0
2021,4,Jujuy,ADSL,22330.0
2021,4,La Pampa,ADSL,8175.0
2021,4,La Rioja,ADSL,10387.0
2021,4,Mendoza,ADSL,59842.0
2021,4,Misiones,ADSL,41778.0
2021,4,Neuquén,ADSL,29175.0
2021,4,Río Negro,ADSL,42037.0
2021,4,Salta,ADSL,46972.0
2021,4,San Juan,ADSL,35868.0
2021,4,San Luis,ADSL,8472.0
2021,4,Santa Cruz,ADSL,10790.0
2021,4,Santa Fe,ADSL,233427.0
2021,4,Santiago Del Estero,ADSL,19032.0
2021,4,Tierra Del Fuego,ADSL,13317.0
2021,4,Tucumán,ADSL,97830.0
2021,3,Buenos Aires,ADSL,585729.0
2021,3,Capital Federal,ADSL,142902.0
2021,3,Catamarca,ADSL,18413.0
2021,3,Chaco,ADSL,38258.0
2021,3,Chubut,ADSL,49269.0
2021,3,Córdoba,ADSL,229275.0
2021,3,Corrientes,ADSL,44805.0
2021,3,Entre Ríos,ADSL,74443.0
2021,3,Formosa,ADSL,18093.0
2021,3,Jujuy,ADSL,23554.0
2021,3,La Pampa,ADSL,9015.0
2021,3,La Rioja,ADSL,11329.0
2021,3,Mendoza,ADSL,91474.0
2021,3,Misiones,ADSL,43230.0
2021,3,Neuquén,ADSL,29650.0
2021,3,Río Negro,ADSL,47934.0
2021,3,Salta,ADSL,49212.0
2021,3,San Juan,ADSL,40072.0
2021,3,San Luis,ADSL,8417.0
2021,3,Santa Cruz,ADSL,12347.0
2021,3,Santa Fe,ADSL,245929.0
2021,3,Santiago Del Estero,ADSL,19939.0
2021,3,Tierra Del Fuego,ADSL,12853.0
2021,3,Tucumán,ADSL,104489.0
2021,2,Buenos Aires,ADSL,603255.0
2021,2,Capital Federal,ADSL,148989.0
2021,2,Catamarca,ADSL,20305.0
2021,2,Chaco,ADSL,39826.0
2021,2,Chubut,ADSL,49271.0
2021,2,Córdoba,ADSL,239780.0
2021,2,Corrientes,ADSL,46648.0
2021,2,Entre Ríos,ADSL,77836.0
2021,2,Formosa,ADSL,19571.0
2021,2,Jujuy,ADSL,24738.0
2021,2,La Pampa,ADSL,9017.0
2021,2,La Rioja,ADSL,11627.0
2021,2,Mendoza,ADSL,91503.0
2021,2,Misiones,ADSL,44960.0
2021,2,Neuquén,ADSL,30083.0
2021,2,Río Negro,ADSL,48189.0
2021,2,Salta,ADSL,51396.0
2021,2,San Juan,ADSL,40072.0
2021,2,San Luis,ADSL,8417.0
2021,2,Santa Cruz,ADSL,12347.0
2021,2,Santa Fe,ADSL,256741.0
2021,2,Santiago Del Estero,ADSL,20734.0
2021,2,Tierra Del Fuego,ADSL,12853.0
2021,2,Tucumán,ADSL,110429.0
2021,1,Buenos Aires,ADSL,629679.0
2021,1,Capital Federal,ADSL,159805.0
2021,1,Catamarca,ADSL,26316.0
2021,1,Chaco,ADSL,43214.0
2021,1,Chubut,ADSL,45501.0
2021,1,Córdoba,ADSL,260350.0
2021,1,Corrientes,ADSL,49160.0
2021,1,Entre Ríos,ADSL,83688.0
2021,1,Formosa,ADSL,20663.0
2021,1,Jujuy,ADSL,32254.0
2021,1,La Pampa,ADSL,8946.0
2021,1,La Rioja,ADSL,17363.0
2021,1,Mendoza,ADSL,91844.0
2021,1,Misiones,ADSL,48292.0
2021,1,Neuquén,ADSL,30223.0
2021,1,Río Negro,ADSL,48777.0
2021,1,Salta,ADSL,54768.0
2021,1,San Juan,ADSL,40072.0
2021,1,San Luis,ADSL,8417.0
2021,1,Santa Cruz,ADSL,12347.0
2021,1,Santa Fe,ADSL,277012.0
2021,1,Santiago Del Estero,ADSL,26468.0
2021,1,Tierra Del Fuego,ADSL,12853.0
2021,1,Tucumán,ADSL,147199.0
2020,4,Buenos Aires,ADSL,635651.0
2020,4,Capital Federal,ADSL,163060.0
2020,4,Catamarca,ADSL,26870.0
2020,4,Chaco,ADSL,44332.0
2020,4,Chubut,ADSL,45703.0
2020,4,Córdoba,ADSL,267396.0
2020,4,Corrientes,ADSL,50102.0
2020,4,Entre Ríos,ADSL,85683.0
2020,4,Formosa,ADSL,21264.0
2020,4,Jujuy,ADSL,32850.0
2020,4,La Pampa,ADSL,9009.0
2020,4,La Rioja,ADSL,17513.0
2020,4,Mendoza,ADSL,91842.0
2020,4,Misiones,ADSL,49462.0
2020,4,Neuquén,ADSL,30468.0
2020,4,Río Negro,ADSL,48991.0
2020,4,Salta,ADSL,56659.0
2020,4,San Juan,ADSL,40072.0
2020,4,San Luis,ADSL,8417.0
2020,4,Santa Cruz,ADSL,12347.0
2020,4,Santa Fe,ADSL,287271.0
2020,4,Santiago Del Estero,ADSL,26812.0
2020,4,Tierra Del Fuego,ADSL,12853.0
2020,4,Tucumán,ADSL,149322.0
2020,3,Buenos Aires,ADSL,653930.0
2020,3,Capital Federal,ADSL,170375.0
2020,3,Catamarca,ADSL,26868.0
2020,3,Chaco,ADSL,45745.0
2020,3,Chubut,ADSL,45761.0
2020,3,Córdoba,ADSL,276360.0
2020,3,Corrientes,ADSL,50858.0
2020,3,Entre Ríos,ADSL,87892.0
2020,3,Formosa,ADSL,21790.0
2020,3,Jujuy,ADSL,32611.0
2020,3,La Pampa,ADSL,9015.0
2020,3,La Rioja,ADSL,17346.0
2020,3,Mendoza,ADSL,91908.0
2020,3,Misiones,ADSL,50195.0
2020,3,Neuquén,ADSL,30222.0
2020,3,Río Negro,ADSL,49530.0
2020,3,Salta,ADSL,58216.0
2020,3,San Juan,ADSL,40092.0
2020,3,San Luis,ADSL,8401.0
2020,3,Santa Cruz,ADSL,12845.0
2020,3,Santa Fe,ADSL,295051.0
2020,3,Santiago Del Estero,ADSL,26419.0
2020,3,Tierra Del Fuego,ADSL,12854.0
2020,3,Tucumán,ADSL,149605.0
2020,2,Buenos Aires,ADSL,661272.0
2020,2,Capital Federal,ADSL,178896.0
2020,2,Catamarca,ADSL,26968.0
2020,2,Chaco,ADSL,46816.0
2020,2,Chubut,ADSL,45761.0
2020,2,Córdoba,ADSL,282858.0
2020,2,Corrientes,ADSL,51248.0
2020,2,Entre Ríos,ADSL,89391.0
2020,2,Formosa,ADSL,21805.0
2020,2,Jujuy,ADSL,32705.0
2020,2,La Pampa,ADSL,8551.0
2020,2,La Rioja,ADSL,16885.0
2020,2,Mendoza,ADSL,91904.0
2020,2,Misiones,ADSL,50792.0
2020,2,Neuquén,ADSL,30256.0
2020,2,Río Negro,ADSL,49756.0
2020,2,Salta,ADSL,59502.0
2020,2,San Juan,ADSL,40092.0
2020,2,San Luis,ADSL,8401.0
2020,2,Santa Cruz,ADSL,12845.0
2020,2,Santa Fe,ADSL,299974.0
2020,2,Santiago Del Estero,ADSL,25917.0
2020,2,Tierra Del Fuego,ADSL,12854.0
2020,2,Tucumán,ADSL,150084.0
2020,1,Buenos Aires,ADSL,673237.0
2020,1,Capital Federal,ADSL,184494.0
2020,1,Catamarca,ADSL,21945.0
2020,1,Chaco,ADSL,46356.0
2020,1,Chubut,ADSL,45763.0
2020,1,Córdoba,ADSL,286168.0
2020,1,Corrientes,ADSL,51126.0
2020,1,Entre Ríos,ADSL,90368.0
2020,1,Formosa,ADSL,21068.0
2020,1,Jujuy,ADSL,32066.0
2020,1,La Pampa,ADSL,8553.0
2020,1,La Rioja,ADSL,13076.0
2020,1,Mendoza,ADSL,91955.0
2020,1,Misiones,ADSL,51458.0
2020,1,Neuquén,ADSL,29305.0
2020,1,Río Negro,ADSL,47756.0
2020,1,Salta,ADSL,60426.0
2020,1,San Juan,ADSL,40092.0
2020,1,San Luis,ADSL,8301.0
2020,1,Santa Cruz,ADSL,12845.0
2020,1,Santa Fe,ADSL,302366.0
2020,1,Santiago Del Estero,ADSL,24695.0
2020,1,Tierra Del Fuego,ADSL,12854.0
2020,1,Tucumán,ADSL,143184.0
2019,4,Buenos Aires,ADSL,720011.0
2019,4,Capital Federal,ADSL,196938.0
2019,4,Catamarca,ADSL,22999.0
2019,4,Chaco,ADSL,48661.0
2019,4,Chubut,ADSL,47045.0
2019,4,Córdoba,ADSL,296872.0
2019,4,Corrientes,ADSL,52525.0
2019,4,Entre Ríos,ADSL,92981.0
2019,4,Formosa,ADSL,21567.0
2019,4,Jujuy,ADSL,32949.0
2019,4,La Pampa,ADSL,15457.0
2019,4,La Rioja,ADSL,13738.0
2019,4,Mendoza,ADSL,96678.0
2019,4,Misiones,ADSL,53116.0
2019,4,Neuquén,ADSL,29826.0
2019,4,Río Negro,ADSL,49747.0
2019,4,Salta,ADSL,63272.0
2019,4,San Juan,ADSL,41360.0
2019,4,San Luis,ADSL,8569.0
2019,4,Santa Cruz,ADSL,13264.0
2019,4,Santa Fe,ADSL,312072.0
2019,4,Santiago Del Estero,ADSL,24682.0
2019,4,Tierra Del Fuego,ADSL,13261.0
2019,4,Tucumán,ADSL,146985.0
2019,3,Buenos Aires,ADSL,1277249.0
2019,3,Capital Federal,ADSL,300288.0
2019,3,Catamarca,ADSL,24349.0
2019,3,Chaco,ADSL,50416.0
2019,3,Chubut,ADSL,37298.0
2019,3,Córdoba,ADSL,307780.0
