Año,Trimestre,IPC US,IPC AR,USDARS oficial,USDARS blue,PBI millones
2013,1,232773,298,5.0,9.0,2888981.0
2013,2,233504,309,5.0,9.0,3387811.0
2013,3,234149,331,6.0,10.0,3436547.0
2013,4,233049,351,6.0,11.0,3679896.0
2014,1,236293,402,8.0,11.0,3917649.0
2014,2,238343,433,8.0,13.0,4702630.0
2014,3,238031,461,8.0,14.0,4685503.0
2014,4,234812,491,9.0,13.0,5010564.0
2015,1,236119,518,9.0,13.0,5092694.0
2015,2,238638,549,9.0,15.0,5951479.0
2015,3,237945,584,9.0,15.0,6221731.0
2015,4,236525,621,10.0,15.0,6552140.0
2016,1,238132,697,14.0,15.0,6962845.0
2016,2,241038,751,14.0,15.0,8401125.0
2016,3,241428,791,15.0,16.0,8448890.0
2016,4,241432,833,15.0,16.0,8942135.0
2017,1,243801,880,16.0,16.0,9157377.0
2017,2,244955,925,16.0,18.0,10595155.0
2017,3,246819,963,17.0,18.0,10937240.0
2017,4,246524,1014,18.0,20.0,11533613.0
2018,1,249554,1083,20.0,24.0,11975804.0
2018,2,251989,1169,24.0,29.0,
